time(unix),tc,p1,p2,p3
potato
test,1674179514,30.955326,25.296008,110.089849,
potato
test,1674179514,30.940206,25.280580,104.659772,
potato
test,1674179515,30.938047,25.283973,91.509003,
potato
test,1674179515,30.959336,25.284282,92.907634,
potato
test,1674179516,30.973530,25.281505,86.360628,
potato
test,1674179516,30.992660,25.264535,88.689214,
potato
test,1674179517,30.924781,25.255280,85.843512,
potato
test,1674179517,30.947613,25.243554,91.106660,
potato
test,1674179518,30.932802,25.261758,94.018085,
potato
test,1674179518,30.987416,25.254971,100.388285,
potato
test,1674179519,30.985565,25.293228,84.790448,
potato
